date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-05-22,5608,4882,24,704,259,4,"{'创业板': 1400, '北交所': 317, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-02_6trading_days/date=2026-05-22/daily_stock_status.parquet,128234,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-25,5609,4882,22,705,258,2,"{'创业板': 1400, '北交所': 318, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-02_6trading_days/date=2026-05-25/daily_stock_status.parquet,128124,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-26,5609,4882,22,705,258,2,"{'创业板': 1400, '北交所': 318, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-02_6trading_days/date=2026-05-26/daily_stock_status.parquet,128127,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-27,5610,4882,22,705,258,4,"{'创业板': 1400, '北交所': 319, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-02_6trading_days/date=2026-05-27/daily_stock_status.parquet,128186,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-28,5610,4882,22,706,257,3,"{'创业板': 1400, '北交所': 319, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-02_6trading_days/date=2026-05-28/daily_stock_status.parquet,128146,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-29,5612,4881,25,706,257,2,"{'创业板': 1402, '北交所': 319, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-02_6trading_days/date=2026-05-29/daily_stock_status.parquet,128185,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
