date,file,source_files,rows,estimated_stocks_from_240_bars,bytes,MB,fields
2026-06-01,2026-06/part-01_12trading_days/date=2026-06-01/minute1.parquet,49,1170960,4879,18001415,18.0,"code,datetime,open,high,low,close,volume,amount"
2026-06-02,2026-06/part-01_12trading_days/date=2026-06-02/minute1.parquet,49,1170720,4878,17869305,17.87,"code,datetime,open,high,low,close,volume,amount"
2026-06-03,2026-06/part-01_12trading_days/date=2026-06-03/minute1.parquet,49,1171680,4882,17988863,17.99,"code,datetime,open,high,low,close,volume,amount"
2026-06-04,2026-06/part-01_12trading_days/date=2026-06-04/minute1.parquet,49,1171680,4882,17786349,17.79,"code,datetime,open,high,low,close,volume,amount"
2026-06-05,2026-06/part-01_12trading_days/date=2026-06-05/minute1.parquet,49,1172160,4884,18290819,18.29,"code,datetime,open,high,low,close,volume,amount"
2026-06-08,2026-06/part-01_12trading_days/date=2026-06-08/minute1.parquet,49,1171920,4883,18508331,18.51,"code,datetime,open,high,low,close,volume,amount"
2026-06-09,2026-06/part-01_12trading_days/date=2026-06-09/minute1.parquet,49,1171920,4883,17733487,17.73,"code,datetime,open,high,low,close,volume,amount"
2026-06-10,2026-06/part-01_12trading_days/date=2026-06-10/minute1.parquet,49,1171680,4882,17960897,17.96,"code,datetime,open,high,low,close,volume,amount"
2026-06-11,2026-06/part-01_12trading_days/date=2026-06-11/minute1.parquet,49,1171680,4882,17793282,17.79,"code,datetime,open,high,low,close,volume,amount"
2026-06-12,2026-06/part-01_12trading_days/date=2026-06-12/minute1.parquet,49,1171440,4881,18082480,18.08,"code,datetime,open,high,low,close,volume,amount"
2026-06-15,2026-06/part-01_12trading_days/date=2026-06-15/minute1.parquet,49,1171200,4880,17584517,17.58,"code,datetime,open,high,low,close,volume,amount"
2026-06-16,2026-06/part-01_12trading_days/date=2026-06-16/minute1.parquet,49,1170960,4879,17705365,17.71,"code,datetime,open,high,low,close,volume,amount"
