date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-06-01,5613,4879,26,707,252,1,"{'创业板': 1402, '北交所': 320, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-06/part-01_12trading_days/date=2026-06-01/daily_stock_status.parquet,128286,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-02,5609,4878,24,707,250,1,"{'创业板': 1402, '北交所': 320, '沪市主板': 1744, '深市主板': 1534, '科创板': 609}",2026-06/part-01_12trading_days/date=2026-06-02/daily_stock_status.parquet,128067,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-03,5610,4882,20,708,245,0,"{'创业板': 1402, '北交所': 321, '沪市主板': 1744, '深市主板': 1534, '科创板': 609}",2026-06/part-01_12trading_days/date=2026-06-03/daily_stock_status.parquet,127915,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-04,5610,4882,20,708,245,0,"{'创业板': 1402, '北交所': 321, '沪市主板': 1744, '深市主板': 1534, '科创板': 609}",2026-06/part-01_12trading_days/date=2026-06-04/daily_stock_status.parquet,127945,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-05,5612,4884,18,710,245,1,"{'创业板': 1402, '北交所': 321, '沪市主板': 1744, '深市主板': 1535, '科创板': 610}",2026-06/part-01_12trading_days/date=2026-06-05/daily_stock_status.parquet,128056,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-08,5613,4883,22,708,242,1,"{'创业板': 1402, '北交所': 322, '沪市主板': 1744, '深市主板': 1535, '科创板': 610}",2026-06/part-01_12trading_days/date=2026-06-08/daily_stock_status.parquet,128263,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-09,5604,4883,12,708,242,1,"{'创业板': 1399, '北交所': 322, '沪市主板': 1739, '深市主板': 1533, '科创板': 611}",2026-06/part-01_12trading_days/date=2026-06-09/daily_stock_status.parquet,127983,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-10,5604,4882,15,707,242,1,"{'创业板': 1399, '北交所': 322, '沪市主板': 1739, '深市主板': 1533, '科创板': 611}",2026-06/part-01_12trading_days/date=2026-06-10/daily_stock_status.parquet,128028,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-11,5604,4882,17,703,241,2,"{'创业板': 1399, '北交所': 322, '沪市主板': 1739, '深市主板': 1533, '科创板': 611}",2026-06/part-01_12trading_days/date=2026-06-11/daily_stock_status.parquet,128024,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-12,5605,4881,16,704,238,1,"{'创业板': 1399, '北交所': 322, '沪市主板': 1739, '深市主板': 1534, '科创板': 611}",2026-06/part-01_12trading_days/date=2026-06-12/daily_stock_status.parquet,128059,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
