date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-04-01,5588,4860,15,712,181,3,"{'创业板': 1397, '北交所': 306, '沪市主板': 1746, '深市主板': 1531, '科创板': 608}",2026-04/part-01_12trading_days/date=2026-04-01/daily_stock_status.parquet,127304,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-02,5588,4860,15,713,181,3,"{'创业板': 1397, '北交所': 306, '沪市主板': 1746, '深市主板': 1531, '科创板': 608}",2026-04/part-01_12trading_days/date=2026-04-02/daily_stock_status.parquet,127299,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-03,5588,4860,14,713,181,3,"{'创业板': 1397, '北交所': 306, '沪市主板': 1746, '深市主板': 1531, '科创板': 608}",2026-04/part-01_12trading_days/date=2026-04-03/daily_stock_status.parquet,127292,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-07,5590,4861,16,713,181,3,"{'创业板': 1397, '北交所': 307, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-07/daily_stock_status.parquet,127361,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-08,5590,4863,12,712,183,3,"{'创业板': 1397, '北交所': 307, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-08/daily_stock_status.parquet,127338,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-09,5591,4864,11,716,183,1,"{'创业板': 1397, '北交所': 308, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-09/daily_stock_status.parquet,127284,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-10,5591,4867,10,714,183,4,"{'创业板': 1397, '北交所': 308, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-10/daily_stock_status.parquet,127332,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-13,5594,4868,11,715,183,4,"{'创业板': 1398, '北交所': 310, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-13/daily_stock_status.parquet,127444,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-14,5594,4869,9,714,184,3,"{'创业板': 1398, '北交所': 310, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-14/daily_stock_status.parquet,127401,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-15,5595,4867,11,717,184,2,"{'创业板': 1398, '北交所': 311, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-15/daily_stock_status.parquet,127467,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
