month,date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-03,2026-03-16,5577,4862,10,705,183,0,"{'创业板': 1396, '北交所': 301, '沪市主板': 1744, '深市主板': 1530, '科创板': 606}",2026-03/part-01_12trading_days/date=2026-03-16/daily_stock_status.parquet,126807,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-17,5577,4861,12,704,183,0,"{'创业板': 1396, '北交所': 301, '沪市主板': 1744, '深市主板': 1530, '科创板': 606}",2026-03/part-01_12trading_days/date=2026-03-17/daily_stock_status.parquet,126811,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-18,5578,4861,12,705,183,1,"{'创业板': 1396, '北交所': 302, '沪市主板': 1744, '深市主板': 1530, '科创板': 606}",2026-03/part-02_10trading_days/date=2026-03-18/daily_stock_status.parquet,127014,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-19,5578,4861,12,705,183,0,"{'创业板': 1396, '北交所': 302, '沪市主板': 1744, '深市主板': 1530, '科创板': 606}",2026-03/part-02_10trading_days/date=2026-03-19/daily_stock_status.parquet,126811,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-20,5580,4861,12,706,182,1,"{'创业板': 1397, '北交所': 302, '沪市主板': 1745, '深市主板': 1530, '科创板': 606}",2026-03/part-02_10trading_days/date=2026-03-20/daily_stock_status.parquet,127134,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-23,5581,4862,9,708,182,0,"{'创业板': 1396, '北交所': 303, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-23/daily_stock_status.parquet,126870,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-24,5581,4859,11,710,183,0,"{'创业板': 1396, '北交所': 303, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-24/daily_stock_status.parquet,126912,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-25,5582,4861,12,709,183,2,"{'创业板': 1396, '北交所': 304, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-25/daily_stock_status.parquet,127132,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-26,5582,4859,13,709,183,2,"{'创业板': 1396, '北交所': 304, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-26/daily_stock_status.parquet,127105,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-27,5583,4855,17,710,182,3,"{'创业板': 1397, '北交所': 304, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-27/daily_stock_status.parquet,127184,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-30,5586,4854,20,712,181,3,"{'创业板': 1398, '北交所': 305, '沪市主板': 1746, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-30/daily_stock_status.parquet,127322,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03,2026-03-31,5586,4858,17,708,181,5,"{'创业板': 1398, '北交所': 305, '沪市主板': 1746, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-31/daily_stock_status.parquet,127314,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-01,5588,4860,15,712,181,3,"{'创业板': 1397, '北交所': 306, '沪市主板': 1746, '深市主板': 1531, '科创板': 608}",2026-04/part-01_12trading_days/date=2026-04-01/daily_stock_status.parquet,127304,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-02,5588,4860,15,713,181,3,"{'创业板': 1397, '北交所': 306, '沪市主板': 1746, '深市主板': 1531, '科创板': 608}",2026-04/part-01_12trading_days/date=2026-04-02/daily_stock_status.parquet,127299,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-03,5588,4860,14,713,181,3,"{'创业板': 1397, '北交所': 306, '沪市主板': 1746, '深市主板': 1531, '科创板': 608}",2026-04/part-01_12trading_days/date=2026-04-03/daily_stock_status.parquet,127292,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-07,5590,4861,16,713,181,3,"{'创业板': 1397, '北交所': 307, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-07/daily_stock_status.parquet,127361,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-08,5590,4863,12,712,183,3,"{'创业板': 1397, '北交所': 307, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-08/daily_stock_status.parquet,127338,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-09,5591,4864,11,716,183,1,"{'创业板': 1397, '北交所': 308, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-09/daily_stock_status.parquet,127284,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-10,5591,4867,10,714,183,4,"{'创业板': 1397, '北交所': 308, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-10/daily_stock_status.parquet,127332,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-13,5594,4868,11,715,183,4,"{'创业板': 1398, '北交所': 310, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-13/daily_stock_status.parquet,127444,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-14,5594,4869,9,714,184,3,"{'创业板': 1398, '北交所': 310, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-14/daily_stock_status.parquet,127401,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-15,5595,4867,11,717,184,2,"{'创业板': 1398, '北交所': 311, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-15/daily_stock_status.parquet,127467,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-16,5595,4870,10,715,183,5,"{'创业板': 1398, '北交所': 311, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-16/daily_stock_status.parquet,127453,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-17,5596,4870,12,714,183,3,"{'创业板': 1399, '北交所': 311, '沪市主板': 1746, '深市主板': 1531, '科创板': 609}",2026-04/part-01_12trading_days/date=2026-04-17/daily_stock_status.parquet,127449,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-20,5597,4868,17,712,181,4,"{'创业板': 1399, '北交所': 311, '沪市主板': 1747, '深市主板': 1531, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-20/daily_stock_status.parquet,127522,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-21,5597,4873,14,707,182,5,"{'创业板': 1399, '北交所': 311, '沪市主板': 1747, '深市主板': 1531, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-21/daily_stock_status.parquet,127501,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-22,5598,4871,14,709,184,5,"{'创业板': 1399, '北交所': 312, '沪市主板': 1747, '深市主板': 1531, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-22/daily_stock_status.parquet,127512,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-23,5598,4870,17,709,185,3,"{'创业板': 1399, '北交所': 312, '沪市主板': 1747, '深市主板': 1531, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-23/daily_stock_status.parquet,127526,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-24,5599,4872,17,706,189,4,"{'创业板': 1399, '北交所': 312, '沪市主板': 1747, '深市主板': 1532, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-24/daily_stock_status.parquet,127560,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-27,5601,4872,19,704,192,4,"{'创业板': 1399, '北交所': 313, '沪市主板': 1747, '深市主板': 1533, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-27/daily_stock_status.parquet,127658,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-28,5601,4873,26,694,199,1,"{'创业板': 1399, '北交所': 313, '沪市主板': 1747, '深市主板': 1533, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-28/daily_stock_status.parquet,127683,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-29,5601,4873,53,661,210,2,"{'创业板': 1399, '北交所': 313, '沪市主板': 1747, '深市主板': 1533, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-29/daily_stock_status.parquet,127892,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04,2026-04-30,5601,4873,57,632,242,2,"{'创业板': 1399, '北交所': 313, '沪市主板': 1747, '深市主板': 1533, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-30/daily_stock_status.parquet,128257,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05,2026-05-06,5604,4872,26,672,270,1,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-01_12trading_days/date=2026-05-06/daily_stock_status.parquet,128241,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05,2026-05-07,5604,4874,25,705,270,2,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-01_12trading_days/date=2026-05-07/daily_stock_status.parquet,128315,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05,2026-05-08,5604,4874,26,704,270,1,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-01_12trading_days/date=2026-05-08/daily_stock_status.parquet,128134,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05,2026-05-11,5605,4875,29,701,270,3,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-11/daily_stock_status.parquet,128279,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05,2026-05-12,5605,4871,29,702,271,2,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-12/daily_stock_status.parquet,128214,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
