date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-04-20,5597,4868,17,712,181,4,"{'创业板': 1399, '北交所': 311, '沪市主板': 1747, '深市主板': 1531, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-20/daily_stock_status.parquet,127522,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-21,5597,4873,14,707,182,5,"{'创业板': 1399, '北交所': 311, '沪市主板': 1747, '深市主板': 1531, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-21/daily_stock_status.parquet,127501,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-22,5598,4871,14,709,184,5,"{'创业板': 1399, '北交所': 312, '沪市主板': 1747, '深市主板': 1531, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-22/daily_stock_status.parquet,127512,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-23,5598,4870,17,709,185,3,"{'创业板': 1399, '北交所': 312, '沪市主板': 1747, '深市主板': 1531, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-23/daily_stock_status.parquet,127526,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-24,5599,4872,17,706,189,4,"{'创业板': 1399, '北交所': 312, '沪市主板': 1747, '深市主板': 1532, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-24/daily_stock_status.parquet,127560,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-27,5601,4872,19,704,192,4,"{'创业板': 1399, '北交所': 313, '沪市主板': 1747, '深市主板': 1533, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-27/daily_stock_status.parquet,127658,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-28,5601,4873,26,694,199,1,"{'创业板': 1399, '北交所': 313, '沪市主板': 1747, '深市主板': 1533, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-28/daily_stock_status.parquet,127683,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-29,5601,4873,53,661,210,2,"{'创业板': 1399, '北交所': 313, '沪市主板': 1747, '深市主板': 1533, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-29/daily_stock_status.parquet,127892,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-04-30,5601,4873,57,632,242,2,"{'创业板': 1399, '北交所': 313, '沪市主板': 1747, '深市主板': 1533, '科创板': 609}",2026-04/part-02_9trading_days/date=2026-04-30/daily_stock_status.parquet,128257,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
