date,file,source_files,rows,estimated_stocks_from_240_bars,bytes,MB,fields
2026-04-20,2026-04/part-02_9trading_days/date=2026-04-20/minute1.parquet,49,1168320,4868,16984824,16.98,"code,datetime,open,high,low,close,volume,amount"
2026-04-21,2026-04/part-02_9trading_days/date=2026-04-21/minute1.parquet,49,1169520,4873,17073104,17.07,"code,datetime,open,high,low,close,volume,amount"
2026-04-22,2026-04/part-02_9trading_days/date=2026-04-22/minute1.parquet,49,1169040,4871,17061564,17.06,"code,datetime,open,high,low,close,volume,amount"
2026-04-23,2026-04/part-02_9trading_days/date=2026-04-23/minute1.parquet,49,1168800,4870,17552936,17.55,"code,datetime,open,high,low,close,volume,amount"
2026-04-24,2026-04/part-02_9trading_days/date=2026-04-24/minute1.parquet,49,1169280,4872,17544308,17.54,"code,datetime,open,high,low,close,volume,amount"
2026-04-27,2026-04/part-02_9trading_days/date=2026-04-27/minute1.parquet,49,1169280,4872,17484211,17.48,"code,datetime,open,high,low,close,volume,amount"
2026-04-28,2026-04/part-02_9trading_days/date=2026-04-28/minute1.parquet,49,1169520,4873,17571022,17.57,"code,datetime,open,high,low,close,volume,amount"
2026-04-29,2026-04/part-02_9trading_days/date=2026-04-29/minute1.parquet,49,1169520,4873,17162070,17.16,"code,datetime,open,high,low,close,volume,amount"
2026-04-30,2026-04/part-02_9trading_days/date=2026-04-30/minute1.parquet,49,1169520,4873,17278676,17.28,"code,datetime,open,high,low,close,volume,amount"
