review_date,valid_from,theme,role,stock_name,stock_code,tradable_next_day,evidence_url
2026-07-29,2026-07-30,AI应用,capacity_core,巨人网络,002558,1,https://www.cls.cn/detail/2439813
2026-07-29,2026-07-30,AI应用,capacity_core,恺英网络,002517,1,https://www.cls.cn/detail/2439813
2026-07-30,2026-07-31,AI应用,elastic_core,普联软件,300996,1,https://www.cls.cn/detail/2440914
2026-07-30,2026-07-31,AI应用,elastic_core,恒锋信息,300605,1,https://www.cls.cn/detail/2440914
2026-07-30,2026-07-31,AI应用,capacity_core,巨人网络,002558,1,https://www.cls.cn/detail/2440914
2026-07-30,2026-07-31,AI应用,capacity_core,恺英网络,002517,1,https://www.cls.cn/detail/2440914
2026-07-30,2026-07-31,AI应用,supplement,福石控股,300071,1,https://www.cls.cn/detail/2440914
