date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-07-01,5613,4952,21,636,218,1,"{'创业板': 1399, '北交所': 327, '沪市主板': 1746, '深市主板': 1531, '科创板': 610}",2026-07/part-01_12trading_days/date=2026-07-01/daily_stock_status.parquet,128131,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-02,5613,4953,18,639,215,3,"{'创业板': 1399, '北交所': 327, '沪市主板': 1746, '深市主板': 1531, '科创板': 610}",2026-07/part-01_12trading_days/date=2026-07-02/daily_stock_status.parquet,128195,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-03,5614,4953,18,643,215,1,"{'创业板': 1399, '北交所': 327, '沪市主板': 1746, '深市主板': 1531, '科创板': 611}",2026-07/part-01_12trading_days/date=2026-07-03/daily_stock_status.parquet,128132,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-06,5615,4954,17,644,215,1,"{'创业板': 1399, '北交所': 328, '沪市主板': 1746, '深市主板': 1531, '科创板': 611}",2026-07/part-01_12trading_days/date=2026-07-06/daily_stock_status.parquet,128154,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-07,5608,4961,10,643,216,1,"{'创业板': 1399, '北交所': 328, '沪市主板': 1739, '深市主板': 1531, '科创板': 611}",2026-07/part-01_12trading_days/date=2026-07-07/daily_stock_status.parquet,127706,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-08,5609,4954,10,645,216,2,"{'创业板': 1399, '北交所': 329, '沪市主板': 1739, '深市主板': 1531, '科创板': 611}",2026-07/part-01_12trading_days/date=2026-07-08/daily_stock_status.parquet,127771,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-09,5609,4961,10,645,215,1,"{'创业板': 1399, '北交所': 329, '沪市主板': 1739, '深市主板': 1531, '科创板': 611}",2026-07/part-01_12trading_days/date=2026-07-09/daily_stock_status.parquet,127793,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-10,5610,4953,11,645,215,2,"{'创业板': 1400, '北交所': 328, '沪市主板': 1739, '深市主板': 1531, '科创板': 612}",2026-07/part-01_12trading_days/date=2026-07-10/daily_stock_status.parquet,127828,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-13,5611,4957,6,648,215,1,"{'创业板': 1400, '北交所': 329, '沪市主板': 1739, '深市主板': 1531, '科创板': 612}",2026-07/part-01_12trading_days/date=2026-07-13/daily_stock_status.parquet,127717,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-07-14,5613,4957,6,648,214,1,"{'创业板': 1400, '北交所': 329, '沪市主板': 1739, '深市主板': 1533, '科创板': 612}",2026-07/part-01_12trading_days/date=2026-07-14/daily_stock_status.parquet,127704,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
