date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-08-03,5614,4956,6,651,211,2,"{'创业板': 1400, '北交所': 332, '沪市主板': 1739, '深市主板': 1531, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-03/daily_stock_status.parquet,127895,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-04,5615,4957,7,651,211,2,"{'创业板': 1400, '北交所': 332, '沪市主板': 1739, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-04/daily_stock_status.parquet,127919,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-05,5616,4957,5,652,211,3,"{'创业板': 1400, '北交所': 333, '沪市主板': 1739, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-05/daily_stock_status.parquet,127895,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-06,5617,4958,5,654,211,2,"{'创业板': 1400, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-06/daily_stock_status.parquet,127940,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-07,5618,4961,4,655,211,3,"{'创业板': 1401, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-07/daily_stock_status.parquet,128030,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-10,5618,4960,0,658,211,3,"{'创业板': 1401, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-10/daily_stock_status.parquet,127456,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-11,5618,4958,0,660,211,2,"{'创业板': 1401, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-11/daily_stock_status.parquet,127428,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-12,5618,4958,0,660,211,2,"{'创业板': 1401, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-12/daily_stock_status.parquet,127428,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-13,5618,4961,0,657,211,1,"{'创业板': 1401, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-13/daily_stock_status.parquet,127403,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-14,5618,4958,0,660,211,0,"{'创业板': 1401, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-14/daily_stock_status.parquet,127266,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-17,5618,4956,0,662,211,0,"{'创业板': 1401, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-17/daily_stock_status.parquet,127274,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-08-18,5618,4956,0,662,211,0,"{'创业板': 1401, '北交所': 333, '沪市主板': 1740, '深市主板': 1532, '科创板': 612}",2026-08/part-01_12trading_days/date=2026-08-18/daily_stock_status.parquet,127268,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
