date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-05-06,5604,4872,26,672,270,1,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-01_12trading_days/date=2026-05-06/daily_stock_status.parquet,128241,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-07,5604,4874,25,705,270,2,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-01_12trading_days/date=2026-05-07/daily_stock_status.parquet,128315,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-08,5604,4874,26,704,270,1,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 609}",2026-05/part-01_12trading_days/date=2026-05-08/daily_stock_status.parquet,128134,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-11,5605,4875,29,701,270,3,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-11/daily_stock_status.parquet,128279,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-12,5605,4871,29,702,271,2,"{'创业板': 1399, '北交所': 314, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-12/daily_stock_status.parquet,128214,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-13,5606,4875,26,705,268,2,"{'创业板': 1399, '北交所': 315, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-13/daily_stock_status.parquet,128236,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-14,5606,4875,26,705,267,2,"{'创业板': 1399, '北交所': 315, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-14/daily_stock_status.parquet,128204,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-15,5606,4876,26,704,267,4,"{'创业板': 1399, '北交所': 315, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-15/daily_stock_status.parquet,128228,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-18,5607,4879,25,703,266,3,"{'创业板': 1399, '北交所': 316, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-18/daily_stock_status.parquet,128309,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-05-19,5607,4874,29,703,265,2,"{'创业板': 1399, '北交所': 316, '沪市主板': 1748, '深市主板': 1534, '科创板': 610}",2026-05/part-01_12trading_days/date=2026-05-19/daily_stock_status.parquet,128193,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
