date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-03-18,5578,4861,12,705,183,1,"{'创业板': 1396, '北交所': 302, '沪市主板': 1744, '深市主板': 1530, '科创板': 606}",2026-03/part-02_10trading_days/date=2026-03-18/daily_stock_status.parquet,127014,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-19,5578,4861,12,705,183,0,"{'创业板': 1396, '北交所': 302, '沪市主板': 1744, '深市主板': 1530, '科创板': 606}",2026-03/part-02_10trading_days/date=2026-03-19/daily_stock_status.parquet,126811,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-20,5580,4861,12,706,182,1,"{'创业板': 1397, '北交所': 302, '沪市主板': 1745, '深市主板': 1530, '科创板': 606}",2026-03/part-02_10trading_days/date=2026-03-20/daily_stock_status.parquet,127134,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-23,5581,4862,9,708,182,0,"{'创业板': 1396, '北交所': 303, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-23/daily_stock_status.parquet,126870,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-24,5581,4859,11,710,183,0,"{'创业板': 1396, '北交所': 303, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-24/daily_stock_status.parquet,126912,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-25,5582,4861,12,709,183,2,"{'创业板': 1396, '北交所': 304, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-25/daily_stock_status.parquet,127132,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-26,5582,4859,13,709,183,2,"{'创业板': 1396, '北交所': 304, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-26/daily_stock_status.parquet,127105,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-27,5583,4855,17,710,182,3,"{'创业板': 1397, '北交所': 304, '沪市主板': 1745, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-27/daily_stock_status.parquet,127184,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-30,5586,4854,20,712,181,3,"{'创业板': 1398, '北交所': 305, '沪市主板': 1746, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-30/daily_stock_status.parquet,127322,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-03-31,5586,4858,17,708,181,5,"{'创业板': 1398, '北交所': 305, '沪市主板': 1746, '深市主板': 1530, '科创板': 607}",2026-03/part-02_10trading_days/date=2026-03-31/daily_stock_status.parquet,127314,0.127,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
