date,file,source_files,rows,estimated_stocks_from_240_bars,bytes,MB,fields
2026-03-18,2026-03/part-02_10trading_days/date=2026-03-18/minute1.parquet,49,1166640,4861,17230258,17.23,"code,datetime,open,high,low,close,volume,amount"
2026-03-19,2026-03/part-02_10trading_days/date=2026-03-19/minute1.parquet,49,1166640,4861,17552893,17.55,"code,datetime,open,high,low,close,volume,amount"
2026-03-20,2026-03/part-02_10trading_days/date=2026-03-20/minute1.parquet,49,1166640,4861,17901527,17.9,"code,datetime,open,high,low,close,volume,amount"
2026-03-23,2026-03/part-02_10trading_days/date=2026-03-23/minute1.parquet,49,1166880,4862,18542357,18.54,"code,datetime,open,high,low,close,volume,amount"
2026-03-24,2026-03/part-02_10trading_days/date=2026-03-24/minute1.parquet,49,1166160,4859,17774332,17.77,"code,datetime,open,high,low,close,volume,amount"
2026-03-25,2026-03/part-02_10trading_days/date=2026-03-25/minute1.parquet,49,1166640,4861,17122296,17.12,"code,datetime,open,high,low,close,volume,amount"
2026-03-26,2026-03/part-02_10trading_days/date=2026-03-26/minute1.parquet,49,1166160,4859,17470424,17.47,"code,datetime,open,high,low,close,volume,amount"
2026-03-27,2026-03/part-02_10trading_days/date=2026-03-27/minute1.parquet,49,1165200,4855,17158368,17.16,"code,datetime,open,high,low,close,volume,amount"
2026-03-30,2026-03/part-02_10trading_days/date=2026-03-30/minute1.parquet,49,1164960,4854,17229609,17.23,"code,datetime,open,high,low,close,volume,amount"
2026-03-31,2026-03/part-02_10trading_days/date=2026-03-31/minute1.parquet,49,1165920,4858,17476013,17.48,"code,datetime,open,high,low,close,volume,amount"
