date,canonical_theme,raw_labels,limitup_member_count,member_adv_ratio,member_median_ret,member_mean_ret,member_mean_ret_1000,turnover_share,board_height,ladder_depth,early_limit_touch_ratio,pit_timestamped_corroborated,lianban_semantic_vote,source_votes,persistence_3d,persistence_5d,followthrough_prev_theme_ret,followthrough_prev_theme_winrate,followthrough_prev_theme_bigloss,theme_score,theme_rank,lifecycle_stage
2026-07-14,算力硬件,算力,6,1.0,0.10009438080085564,0.1333403150873348,0.06351344574114948,0.00391041474574991,1.0,1,0.16666666666666666,True,False,2,2,4,,,,0.5645454545454545,1,确认
2026-07-14,通信,通信,9,1.0,0.10000000000000009,0.09992301529094205,0.07120357199804696,0.022461199719862806,1.0,1,0.5555555555555556,False,False,1,1,2,,,,0.4897727272727273,5,发酵
2026-07-14,金属铝,金属铝,5,1.0,0.09999999999999987,0.10002379881298196,0.008543457442167602,0.002561326738365034,2.0,2,0.0,False,False,1,1,1,,,,0.4045454545454545,8,启动
2026-07-06,交换机,交换机,4,1.0,0.10003302509907541,0.12501206850011987,0.029121229460529308,0.004505625781883393,2.0,2,0.25,False,False,1,1,1,,,,0.39999999999999997,8,启动
2026-07-06,农业,农业,1,1.0,0.09993425378040754,0.09993425378040754,0.05456936226166986,0.00018899891559155424,1.0,1,0.0,False,False,1,2,3,,,,0.3181818181818182,10,分歧
2026-07-06,半导体,芯片,6,0.8333333333333334,0.10008643113054227,0.08345049862706322,0.06704279066624177,0.001287255592880519,2.0,2,0.6,True,False,2,1,2,,,,0.41113636363636363,7,启动
2026-07-06,地产,地产链,3,1.0,0.09990662931839389,0.09995093915313043,0.06531129894302534,0.00012575585268716701,1.0,1,0.3333333333333333,False,False,1,2,3,,,,0.3181818181818182,10,发酵
2026-07-06,基础建设,基础建设,5,1.0,0.09988385598141702,0.10003461411029102,0.043730451261184335,0.00023231532896865744,5.0,2,0.4,False,False,1,3,4,0.02349795238128396,0.6,0.0,0.5452272727272727,4,确认
2026-07-06,天然气,天然气,2,1.0,0.09984453222198264,0.09984453222198264,0.09984453222198264,0.0001489305192279792,2.0,2,1.0,False,False,1,2,2,0.011147783460670857,0.5,0.25,0.4327272727272728,6,分歧
2026-07-06,实控人变更,实控人变更,3,0.6666666666666666,0.09991079393398739,0.06671601395268938,0.10007402092903406,0.0018703960924625507,2.0,2,1.0,False,False,1,1,1,,,,0.3795454545454545,9,启动
2026-07-06,并购重组,并购重组,6,1.0,0.10007052186177712,0.11673923666664798,0.11673923666664798,0.0013081292368099262,5.0,3,1.0,False,False,1,2,3,0.033216720714268545,0.6666666666666666,0.3333333333333333,0.5943181818181817,2,回流
