date,prev_limitup_n,prev_limitup_mean,prev_limitup_winrate,prev_limitup_bigloss,prev_board_mean
2026-07-01,0,,,,
2026-07-02,77,0.0007238451946261428,0.38961038961038963,0.11688311688311688,-0.002295712358657712
2026-07-03,51,-0.004021856465915541,0.4117647058823529,0.27450980392156865,-0.00918777242364921
2026-07-06,72,-0.008052673330715842,0.4166666666666667,0.2222222222222222,-0.006481268764945056
2026-07-07,42,-0.024504103665819878,0.3333333333333333,0.4523809523809524,0.02114622032039402
2026-07-08,26,0.02505336566964661,0.5769230769230769,0.11538461538461539,0.01980068801218222
2026-07-09,38,0.012924427274498333,0.5526315789473685,0.13157894736842105,0.01506947099251224
2026-07-10,57,0.005040908237175132,0.47368421052631576,0.15789473684210525,0.030889189370881677
2026-07-13,66,-0.03322522730827615,0.25757575757575757,0.48484848484848486,0.010926698859425345
2026-07-14,20,0.028837527673840548,0.75,0.25,-0.012960875941558382
2026-07-15,58,0.017150427611379308,0.5689655172413793,0.10344827586206896,0.05350497244773304
2026-07-16,40,0.024306881461363675,0.625,0.125,-0.014329745447244382
2026-07-17,30,-0.009253327871702844,0.36666666666666664,0.36666666666666664,0.005038576935963672
2026-07-20,23,0.024707176699743226,0.6086956521739131,0.21739130434782608,-0.05053251766607273
2026-07-21,39,0.011961165541443318,0.5128205128205128,0.10256410256410256,-0.0014514194458582644
2026-07-22,81,0.011230482010130011,0.5555555555555556,0.04938271604938271,0.0705339735979833
2026-07-23,32,0.05641370596757583,0.84375,0.0,0.05754660064241681
2026-07-24,66,0.0027556811113124404,0.42424242424242425,0.21212121212121213,0.0059307262685215755
2026-07-27,27,0.03657243176724935,0.6666666666666666,0.07407407407407407,0.057548432278617376
2026-07-28,64,0.00614662353295755,0.46875,0.21875,0.04151947552432228
2026-07-29,41,0.0031070239200813284,0.5365853658536586,0.24390243902439024,0.007781416919515212
2026-07-30,45,-0.004837719164795303,0.35555555555555557,0.1111111111111111,0.004005740545082112
2026-07-31,36,0.035410991109787404,0.6388888888888888,0.0,0.0496128538984599
