date,source_id,raw_theme,canonical_theme,source_theme_count,code,stock_name,source_seal_time,risk_flag,trade_effective_date,availability_confidence,github_tradeable_match,mapping_scope,unmatched_reason
2026-07-01,yyqyx_limitup,化工,化工,14,600423,*ST柳化,10:34,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,化工,化工,14,000698,ST沈化,11:25,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,地产链,地产,9,002856,*ST美芝,09:25,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,地产链,地产,9,000632,ST三木,09:41,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,地产链,地产,9,600082,ST海泰,09:42,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,算力,算力硬件,9,600734,*ST实达,09:38,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,算力,算力硬件,9,000010,*ST美丽,10:31,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,金融概念,金融概念,9,603828,*ST利达,09:56,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,医药,医药,8,002822,ST中装,09:30,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,医药,医药,8,002102,ST能特,11:04,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,医药,医药,8,600080,ST金花,13:00,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,基础建设,基础建设,8,600491,ST龙元,09:41,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,基础建设,基础建设,8,002694,*ST顾地,09:41,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,基础建设,基础建设,8,002542,*ST中岩,09:42,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,基础建设,基础建设,8,002620,*ST瑞和,09:53,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,并购重组,并购重组,8,000677,ST海龙,09:52,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,并购重组,并购重组,8,603021,*ST华鹏,10:32,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,股权转让,股权转让,8,002856,*ST美芝,09:25,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,股权转让,股权转让,8,603272,*ST联翔,09:25,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,股权转让,股权转让,8,002305,*ST南置,09:49,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,股权转让,股权转让,8,002199,*ST东晶,10:43,True,2026-07-02,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-01,yyqyx_limitup,芯片,半导体,8,603991,领先股份,09:49,False,2026-07-02,medium_archive_membership,False,formal_nonrisk_universe,no_same_day_eligible_github_price_evidence
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,603789,ST星农,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002569,*ST步森,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002360,ST同德,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,000711,ST京蓝,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,000820,*ST节能,09:32,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,000909,*ST数源,09:44,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002586,ST围海,13:40,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,600491,ST龙元,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002547,*ST春兴,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,000639,ST西王,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,603828,*ST利达,09:30,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,603557,*ST起步,09:30,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002656,*ST摩登,09:31,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002005,ST德豪,09:31,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,603359,*ST东珠,09:40,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,603429,*ST集友,09:41,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,600581,*ST八钢,09:41,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,601010,ST文峰,09:42,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,600119,*ST长投,09:42,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002592,ST八菱,09:52,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,000698,ST沈化,09:52,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,605199,ST葫芦娃,09:54,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,603822,ST嘉澳,09:32,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,600165,ST宁科,09:50,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002122,ST汇洲,10:02,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,603377,ST东时,10:17,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,600243,*ST海华,10:26,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,600107,*ST尔雅,10:39,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,600753,ST海钦,10:45,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,603517,ST绝味,14:13,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002689,ST远智,14:28,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,ST板块,ST板块,32,002581,*ST未名,14:32,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,机器人概念,机器人,21,000595,宝塔实业,09:25,False,2026-07-03,medium_archive_membership,False,formal_nonrisk_universe,no_same_day_eligible_github_price_evidence
2026-07-02,yyqyx_limitup,机器人概念,机器人,21,002689,ST远智,14:28,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,化工,化工,11,002360,ST同德,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,化工,化工,11,600423,*ST柳化,09:44,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,化工,化工,11,000698,ST沈化,09:52,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,基础建设,基础建设,10,600491,ST龙元,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,基础建设,基础建设,10,002542,*ST中岩,09:30,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,基础建设,基础建设,10,002620,*ST瑞和,09:32,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,基础建设,基础建设,10,002431,ST棕榈,09:45,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,农业,农业,8,600423,*ST柳化,09:44,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,农业,农业,8,002431,ST棕榈,09:45,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,农业,农业,8,002726,ST龙大,09:51,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,农业,农业,8,000972,中基健康,10:03,False,2026-07-03,medium_archive_membership,False,formal_nonrisk_universe,no_same_day_eligible_github_price_evidence
2026-07-02,yyqyx_limitup,服装家纺,服装家纺,7,601718,ST际华,09:39,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,股权转让,股权转让,7,002856,*ST美芝,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,股权转让,股权转让,7,603272,*ST联翔,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,股权转让,股权转让,7,002305,*ST南置,09:30,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,股权转让,股权转让,7,002581,*ST未名,14:32,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,AI应用,AI应用,6,000016,*ST康佳A,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,地产链,地产,6,002856,*ST美芝,09:25,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,地产链,地产,6,600082,ST海泰,09:31,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
2026-07-02,yyqyx_limitup,地产链,地产,6,000632,ST三木,09:34,True,2026-07-03,medium_archive_membership,False,structural_risk_excluded,web_risk_flag_excluded_from_formal_trade_universe
