date,source_id,code,stock_name,board_level,source_time
2026-07-02,yyqyx_limitup,600182,S佳通,2,09:42
2026-07-02,yyqyx_limitup,600119,*ST长投,2,09:42
2026-07-02,yyqyx_limitup,600423,*ST柳化,2,09:44
2026-07-02,yyqyx_limitup,002102,ST能特,2,09:45
2026-07-02,yyqyx_limitup,000536,华映科技,2,09:51
2026-07-02,yyqyx_limitup,600624,ST复华,2,09:51
2026-07-02,yyqyx_limitup,002592,ST八菱,2,09:52
2026-07-02,yyqyx_limitup,000698,ST沈化,2,09:52
2026-07-02,yyqyx_limitup,605199,ST葫芦娃,2,09:54
2026-07-02,yyqyx_limitup,000677,ST海龙,2,09:59
2026-07-02,yyqyx_limitup,603559,中通国脉,2,10:00
2026-07-02,yyqyx_limitup,605488,福莱新材,2,10:09
2026-07-02,yyqyx_limitup,603021,*ST华鹏,2,10:37
2026-07-02,yyqyx_limitup,603505,金石资源,2,11:28
2026-07-02,yyqyx_limitup,001313,粤海饲料,2,13:01
2026-07-02,yyqyx_limitup,605189,富春染织,2,13:34
2026-07-03,yyqyx_limitup,002175,*ST东智,5,09:25
2026-07-03,yyqyx_limitup,603789,ST星农,4,09:25
2026-07-03,yyqyx_limitup,603137,恒尚节能,4,09:25
2026-07-03,yyqyx_limitup,002977,*ST天箭,4,09:25
2026-07-03,yyqyx_limitup,002360,ST同德,4,09:30
2026-07-03,yyqyx_limitup,000909,*ST数源,4,09:30
2026-07-03,yyqyx_limitup,000711,ST京蓝,4,09:31
2026-07-03,yyqyx_limitup,000016,*ST康佳A,4,09:35
2026-07-03,yyqyx_limitup,603828,*ST利达,3,09:25
2026-07-03,yyqyx_limitup,603557,*ST起步,3,09:25
2026-07-03,yyqyx_limitup,601718,ST际华,3,09:25
2026-07-03,yyqyx_limitup,002667,*ST威领,3,09:25
2026-07-03,yyqyx_limitup,002542,*ST中岩,3,09:25
2026-07-03,yyqyx_limitup,000078,ST海王,3,09:25
2026-07-03,yyqyx_limitup,600793,宜宾纸业,3,09:30
2026-07-03,yyqyx_limitup,000639,ST西王,3,09:32
2026-07-03,yyqyx_limitup,603559,中通国脉,3,09:33
2026-07-03,yyqyx_limitup,601010,ST文峰,3,09:33
2026-07-03,yyqyx_limitup,600082,ST海泰,3,09:34
2026-07-03,yyqyx_limitup,605199,ST葫芦娃,3,09:35
2026-07-03,yyqyx_limitup,600624,ST复华,3,09:37
2026-07-03,yyqyx_limitup,002005,ST德豪,3,10:38
2026-07-03,yyqyx_limitup,600759,ST洲际,3,10:44
2026-07-03,yyqyx_limitup,002305,*ST南置,3,10:44
2026-07-03,yyqyx_limitup,002109,ST兴化,3,11:19
2026-07-03,yyqyx_limitup,605189,富春染织,3,13:18
2026-07-03,yyqyx_limitup,002198,ST嘉应,3,13:45
2026-07-03,yyqyx_limitup,002979,雷赛智能,2,09:25
2026-07-03,yyqyx_limitup,000656,金科股份,2,09:25
2026-07-03,yyqyx_limitup,000595,宝塔实业,2,09:25
2026-07-03,yyqyx_limitup,000506,招金黄金,2,09:30
2026-07-03,yyqyx_limitup,603822,ST嘉澳,2,09:31
2026-07-03,yyqyx_limitup,603377,ST东时,2,09:31
2026-07-03,yyqyx_limitup,600988,赤峰黄金,2,09:31
2026-07-03,yyqyx_limitup,600084,*ST尼雅,2,09:31
2026-07-03,yyqyx_limitup,001317,三羊马,2,09:33
2026-07-03,yyqyx_limitup,000908,石药景峰,2,09:35
2026-07-03,yyqyx_limitup,603717,天域生物,2,09:36
2026-07-03,yyqyx_limitup,000576,甘化科工,2,09:41
2026-07-03,yyqyx_limitup,000838,*ST发展,2,09:47
2026-07-03,yyqyx_limitup,002122,ST汇洲,2,10:03
2026-07-03,yyqyx_limitup,603286,日盈电子,2,10:17
2026-07-03,yyqyx_limitup,600165,ST宁科,2,10:25
2026-07-03,yyqyx_limitup,603338,浙江鼎力,2,11:23
2026-07-03,yyqyx_limitup,600243,*ST海华,2,13:08
2026-07-03,yyqyx_limitup,002726,ST龙大,2,13:28
2026-07-03,yyqyx_limitup,000821,ST京机,2,14:48
2026-07-03,yyqyx_limitup,603580,艾艾精工,2,14:56
2026-07-06,yyqyx_limitup,002175,*ST东智,6,09:25
2026-07-06,yyqyx_limitup,603789,ST星农,5,09:25
2026-07-06,yyqyx_limitup,603137,恒尚节能,5,09:25
2026-07-06,yyqyx_limitup,600793,宜宾纸业,4,09:36
2026-07-06,yyqyx_limitup,000078,ST海王,4,13:35
2026-07-06,yyqyx_limitup,600759,ST洲际,4,14:33
2026-07-06,yyqyx_limitup,002726,ST龙大,3,09:25
2026-07-06,yyqyx_limitup,000656,金科股份,3,09:25
2026-07-06,yyqyx_limitup,002396,星网锐捷,2,09:25
2026-07-06,yyqyx_limitup,603722,阿科力,2,09:25
2026-07-06,yyqyx_limitup,002767,先锋电子,2,09:30
2026-07-06,yyqyx_limitup,603211,晋拓股份,2,09:32
2026-07-06,yyqyx_limitup,002141,贤丰控股,2,09:32
2026-07-07,yyqyx_limitup,603137,恒尚节能,6,09:25
2026-07-07,yyqyx_limitup,600793,宜宾纸业,5,09:46
2026-07-07,yyqyx_limitup,000078,ST海王,5,09:49
2026-07-07,yyqyx_limitup,600288,大恒科技,2,09:34
2026-07-07,yyqyx_limitup,600246,万通发展,2,09:48
2026-07-07,yyqyx_limitup,603861,白云电器,2,09:51
2026-07-08,yyqyx_limitup,603137,恒尚节能,7,09:25
2026-07-08,yyqyx_limitup,000078,ST海王,6,09:40
2026-07-08,yyqyx_limitup,600288,大恒科技,3,11:16
2026-07-08,yyqyx_limitup,001229,魅视科技,2,09:25
2026-07-08,yyqyx_limitup,600094,大名城,2,09:30
2026-07-08,yyqyx_limitup,301251,威尔高,2,09:30
2026-07-08,yyqyx_limitup,002841,视源股份,2,09:34
2026-07-08,yyqyx_limitup,001365,天海电子,2,13:07
2026-07-08,yyqyx_limitup,002951,金时科技,2,13:49
2026-07-09,yyqyx_limitup,603137,恒尚节能,8,09:30
2026-07-09,yyqyx_limitup,002841,视源股份,3,10:06
2026-07-09,yyqyx_limitup,603928,兴业股份,2,09:32
2026-07-09,yyqyx_limitup,000977,浪潮信息,2,09:38
2026-07-09,yyqyx_limitup,002677,浙江美大,2,09:41
2026-07-09,yyqyx_limitup,002490,山东墨龙,2,11:04
2026-07-10,yyqyx_limitup,600491,ST龙元,3,09:25
2026-07-10,yyqyx_limitup,002414,高德红外,2,09:25
2026-07-10,yyqyx_limitup,002346,柘中股份,2,09:30
2026-07-10,yyqyx_limitup,001395,亚联机械,2,09:31
2026-07-10,yyqyx_limitup,000887,中鼎股份,2,09:32
2026-07-10,yyqyx_limitup,603898,好莱客,2,09:40
2026-07-10,yyqyx_limitup,003020,立方制药,2,09:48
2026-07-10,yyqyx_limitup,002829,星网宇达,2,09:53
2026-07-10,yyqyx_limitup,000892,欢瑞世纪,2,10:03
2026-07-10,yyqyx_limitup,600992,贵绳股份,2,10:03
