date,rows,stocks_with_minute_data,known_suspended,unknown_suspension,st_or_star_st,new_listing_initial,boards,file,bytes,MB,fields
2026-06-17,5606,4886,20,709,231,0,"{'创业板': 1399, '北交所': 323, '沪市主板': 1739, '深市主板': 1534, '科创板': 611}",2026-06/part-02_9trading_days/date=2026-06-17/daily_stock_status.parquet,127929,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-18,5606,4952,22,630,229,0,"{'创业板': 1399, '北交所': 323, '沪市主板': 1739, '深市主板': 1534, '科创板': 611}",2026-06/part-02_9trading_days/date=2026-06-18/daily_stock_status.parquet,127894,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-22,5607,4951,19,632,225,0,"{'创业板': 1399, '北交所': 324, '沪市主板': 1739, '深市主板': 1534, '科创板': 611}",2026-06/part-02_9trading_days/date=2026-06-22/daily_stock_status.parquet,127873,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-23,5610,4955,17,636,223,0,"{'创业板': 1399, '北交所': 324, '沪市主板': 1743, '深市主板': 1534, '科创板': 610}",2026-06/part-02_9trading_days/date=2026-06-23/daily_stock_status.parquet,128081,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-24,5609,4961,18,637,223,1,"{'创业板': 1399, '北交所': 325, '沪市主板': 1743, '深市主板': 1532, '科创板': 610}",2026-06/part-02_9trading_days/date=2026-06-24/daily_stock_status.parquet,128160,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-25,5609,4954,18,636,223,1,"{'创业板': 1399, '北交所': 325, '沪市主板': 1743, '深市主板': 1532, '科创板': 610}",2026-06/part-02_9trading_days/date=2026-06-25/daily_stock_status.parquet,128102,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-26,5609,4953,19,635,220,2,"{'创业板': 1399, '北交所': 325, '沪市主板': 1743, '深市主板': 1532, '科创板': 610}",2026-06/part-02_9trading_days/date=2026-06-26/daily_stock_status.parquet,128229,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-29,5609,4948,21,639,219,3,"{'创业板': 1399, '北交所': 326, '沪市主板': 1743, '深市主板': 1531, '科创板': 610}",2026-06/part-02_9trading_days/date=2026-06-29/daily_stock_status.parquet,128156,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
2026-06-30,5612,4950,24,637,221,3,"{'创业板': 1399, '北交所': 326, '沪市主板': 1746, '深市主板': 1531, '科创板': 610}",2026-06/part-02_9trading_days/date=2026-06-30/daily_stock_status.parquet,128206,0.128,"code,ts_code,date,name,market_board,market_exchange,security_status,st_label,is_st,is_star_st,is_new_listing_initial,listing_phase_trading_days,initial_no_limit_trading_days,list_date,is_suspended,suspension_status,suspension_event_type,suspend_timing,has_minute_data,minute_row_count,price_limit_type,price_limit_up_pct,price_limit_down_pct,price_limit_rule,status_source,status_confidence,status_notes"
