profile,module,period,total_return,max_drawdown,trades,win_rate,profit_factor,sharpe,calmar,benchmark_total_return,excess_return
strict,combined_all,development,0.1553965987159014,-0.0449457393007231,34,0.38235294117647056,2.425857342706103,3.2874309681523166,12.432205049383462,-0.10441283245093447,0.25980943116683586
strict,combined_all,validation,-0.009215865997799444,-0.027643865997799444,13,0.3076923076923077,0.42835151636389057,-0.8985983610903022,-3.489613683331867,-0.0836323935138007,0.07441652751600125
balanced,combined_all,development,0.15021497291360153,-0.045938635364974,34,0.3235294117647059,2.338700866546795,3.3625624752895376,11.69801535207948,-0.10441283245093447,0.254627805364536
balanced,combined_all,validation,-0.05538127773409951,-0.07004527773409952,14,0.14285714285714285,0.022979952144545686,-6.14739657463965,-6.628988814889173,-0.0836323935138007,0.028251115779701186
patient,combined_all,development,0.17902642817460124,-0.04428685681387956,35,0.37142857142857144,2.6626766250704614,3.540677325863894,14.876609710045624,-0.10441283245093447,0.2834392606255357
patient,combined_all,validation,-0.03644532000279965,-0.0577237352833011,14,0.21428571428571427,0.015819550119705723,-2.7849396632981556,-5.789719072509388,-0.0836323935138007,0.04718707351100104
strict,wave3_div_reversal,development,-0.027004449107499884,-0.027004449107499884,5,0.0,0.0,-3.883562805970961,-2.987975860355701,-0.10441283245093447,0.07740838334343458
strict,wave3_div_reversal,validation,-0.05726306260019953,-0.06965106260019949,10,0.2,0.044188248883068576,-6.737997609918681,-6.832716549643925,-0.0836323935138007,0.026369330913601163
strict,wave5_exhaust_reversal,development,0.0011836301084000578,-0.012865787485592972,6,0.3333333333333333,1.1540844664072176,0.12914040831890833,0.2830734044117713,-0.10441283245093447,0.10559646255933453
strict,wave5_exhaust_reversal,validation,-0.009215865997799444,-0.027643865997799444,13,0.3076923076923077,0.42835151636389057,-0.8985983610903022,-3.489613683331867,-0.0836323935138007,0.07441652751600125
strict,pingbu_qingyun,development,0.21108628589960188,-0.04292104524653184,33,0.3939393939393939,3.0147534893771537,3.8306293881294353,18.671597698740314,-0.10441283245093447,0.31549911835053635
strict,pingbu_qingyun,validation,-0.025888253769299374,-0.06226435721899981,12,0.16666666666666666,0.036910801133259945,-1.8291273895911915,-4.011515676342307,-0.0836323935138007,0.05774413974450132
strict,right_pullback,development,-0.10525627261289838,-0.10525627261289838,31,0.3225806451612903,0.4193534949781016,-1.9713027704653,-2.7504662629840366,-0.10441283245093447,-0.0008434401619639154
strict,right_pullback,validation,-0.06209330290429904,-0.06929023237799925,13,0.23076923076923078,0.07222279200461806,-5.525758384313778,-7.282239601915325,-0.0836323935138007,0.021539090609501654
strict,combined_all,algorithmic_test,0.013588928906900666,-0.04625713532306841,11,0.36363636363636365,1.0062826683652535,0.9764743804493562,3.801012334640279,0.09662205117290279,-0.08303312226600212
balanced,combined_all,algorithmic_test,0.02013402636230044,-0.046150570943450764,11,0.45454545454545453,1.1309664584359336,1.3903559081180676,5.8556800943398315,0.09662205117290279,-0.07648802481060235
patient,combined_all,algorithmic_test,0.08858729889050077,-0.04770474020654081,12,0.4166666666666667,2.3820587366670325,3.8016482581327202,37.087107065667354,0.09662205117290279,-0.008034752282402025
strict,wave3_div_reversal,algorithmic_test,0.02060921613550004,-0.013624113630246515,3,1.0,inf,3.3736917291240602,20.35813307336188,0.09662205117290279,-0.07601283503740275
strict,wave5_exhaust_reversal,algorithmic_test,0.06017121032280026,-0.009719558737584455,3,1.0,inf,5.028798829184585,104.54178687707343,0.09662205117290279,-0.03645084085010253
strict,pingbu_qingyun,algorithmic_test,-0.01396287480949887,-0.07095357103630573,12,0.3333333333333333,0.6258783347293047,-1.56090019946922,-2.1882972287169404,0.09662205117290279,-0.11058492598240166
strict,right_pullback,algorithmic_test,0.02177640570770012,-0.06148862591231896,10,0.2,0.7601175790198738,0.9793608166780203,4.7976678174905505,0.09662205117290279,-0.07484564546520267
