code,signal_type,profile,signal_date,entry_date,entry_time,entry_price,shares,entry_cost,mark_date,mark_price,market_value,unrealized_pnl,unrealized_return_pct,initial_stop,trailing_stop,mfe_pct,mae_pct,hold_days
688521,wave5_exhaust_reversal,strict,2026-08-26,2026-08-27,2026-08-27 10:07:00,183.51333,600.0,110141.03039939998,2026-08-31,200.26,120156.0,10014.969600600016,0.09092859912680251,164.175,184.2392,0.09310860415425948,-0.01609327235247704,3
300382,pingbu_qingyun,strict,2026-08-26,2026-08-27,2026-08-27 09:50:00,17.72771,14200.0,251809.00204459997,2026-08-31,18.26,259292.00000000003,7482.99795540006,0.029716959658474318,16.9946,16.9946,0.042435825044520925,-0.04386973839260677,3
300797,pingbu_qingyun,strict,2026-08-28,2026-08-31,2026-08-31 09:49:00,13.933919999999999,26700.0,372147.2746992,2026-08-31,13.91,371397.0,-750.2746992000029,-0.002016069309674351,13.4922,13.4922,0.004742384052728976,-0.013917117365393139,1
